Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Units
Winter 2020,Regular Academic Session,Engineering,18313,Electrical Engineering And Computer Science (EECS),216,34,Intro Signals&Syst,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,3-6PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18309,Electrical Engineering And Computer Science (EECS),216,35,Intro Signals&Syst,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,12-3PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18314,Electrical Engineering And Computer Science (EECS),216,36,Intro Signals&Syst,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,12-3PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,18610,Electrical Engineering And Computer Science (EECS),216,37,Intro Signals&Syst,LAB,P RW,,,,,F,,,1/8/2020,4/21/2020,3-6PM,1016 EECS,,4
Winter 2020,Regular Academic Session,Engineering,24423,Electrical Engineering And Computer Science (EECS),230,1,Engineering EM,LEC,A R ,M,,W,,,,,1/8/2020,4/21/2020,9-1030AM,1303 EECS,Kushner,4
Winter 2020,Regular Academic Session,Engineering,10645,Electrical Engineering And Computer Science (EECS),230,11,Engineering EM,DIS,S R ,,,,,F,,,1/8/2020,4/21/2020,1230-130PM,1005 DOW,,4
Winter 2020,Regular Academic Session,Engineering,21932,Electrical Engineering And Computer Science (EECS),230,12,Engineering EM,DIS,S R ,,,,,F,,,1/8/2020,4/21/2020,930-1030AM,1303 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10646,Electrical Engineering And Computer Science (EECS),230,31,Engineering EM,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,3-6PM,4334 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10647,Electrical Engineering And Computer Science (EECS),230,32,Engineering EM,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,3-6PM,4334 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10648,Electrical Engineering And Computer Science (EECS),230,33,Engineering EM,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,12-3PM,4334 EECS,,4
Winter 2020,Regular Academic Session,Engineering,14182,Electrical Engineering And Computer Science (EECS),230,34,Engineering EM,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,3-6PM,4334 EECS,,4
Winter 2020,Regular Academic Session,Engineering,17870,Electrical Engineering And Computer Science (EECS),230,35,Engineering EM,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,3-6PM,4334 EECS,,4
